k E
0.3962 -4.9203
0.4034 -4.9229
0.4107 -4.9251
0.4180 -4.9268
0.4253 -4.9275
0.4326 -4.9278
0.4385 -4.9276
0.4444 -4.9271
0.4504 -4.9260
0.4563 -4.9243
0.4623 -4.9223
0.4682 -4.9203
0.4742 -4.9176
0.4801 -4.9145
0.4860 -4.9118
0.4920 -4.9089
0.4979 -4.8983
0.5039 -4.8909
0.5098 -4.8898
0.5158 -4.8892
0.5217 -4.8888
0.5277 -4.8890
0.5336 -4.8893
0.5395 -4.8896
0.5455 -4.8899
0.5514 -4.8899

0.0000 -3.6851
0.0042 -3.6911
0.0084 -3.7086
0.0126 -3.7365
0.0168 -3.7732
0.0210 -3.8169
0.0252 -3.8655
0.0294 -3.9172
0.0336 -3.9703
0.0378 -4.0232
0.0420 -4.0746
0.0462 -4.1236
0.0504 -4.1693
0.0546 -4.2110
0.0588 -4.2480
0.0630 -4.2800
0.0672 -4.3066
0.0714 -4.3275
0.0756 -4.3426
0.0799 -4.3517
0.0841 -4.3547
0.0883 -4.3594
0.0925 -4.3732
0.0967 -4.3954
0.1009 -4.4250
0.1051 -4.4607
0.1093 -4.5010
0.1135 -4.5445
0.1177 -4.5898
0.1219 -4.6356
0.1261 -4.6807
0.1303 -4.7242
0.1345 -4.7651
0.1387 -4.8027
0.1429 -4.8364
0.1471 -4.8657
0.1513 -4.8831
0.1555 -4.8828
0.1597 -4.8825
0.1639 -4.8822
0.1681 -4.8822
0.1740 -4.8823
0.1800 -4.8828
0.1859 -4.8832
0.1919 -4.8455
0.1978 -4.7964
0.2038 -4.7374
0.2097 -4.6693
0.2157 -4.5929
0.2216 -4.5092
0.2275 -4.4194
0.2335 -4.3249
0.2394 -4.2275
0.2454 -4.1294
0.2513 -4.0329
0.2573 -3.9412
0.2632 -3.8577
0.2691 -3.7865
